year,Positive,Neutral,Negative
1963,0.191642857,0.729071429,0.07925
1964,0.195814815,0.72362963,0.08062963
1965,0.144857143,0.763464286,0.091785714
1966,0.168071429,0.772214286,0.059857143
1967,0.139304348,0.798913043,0.061782609
1968,0.182931034,0.732310345,0.084724138
1969,0.178695652,0.762391304,0.05873913
1970,0.144333333,0.808333333,0.047333333
