name,word,count
im,im,2414
oh,oh,2021
like,like,1962
na,na,1817
dont,dont,1476
love,love,1456
got,got,1310
know,know,1295
baby,baby,1174
yeah,yeah,1013
get,get,982
go,go,887
youre,youre,852
wan,wan,776
gon,gon,769
make,make,736
cause,cause,728
want,want,723
girl,girl,697
let,let,696
never,never,652
one,one,620
see,see,600
cant,cant,593
la,la,574
aint,aint,557
right,right,552
come,come,545
back,back,541
say,say,536
ill,ill,527
feel,feel,508
take,take,503
night,night,498
time,time,493
way,way,476
good,good,442
ooh,ooh,428
life,life,410
could,could,390
hey,hey,386
tell,tell,386
put,put,367
heart,heart,366
need,need,353
tonight,tonight,347
thats,thats,337
ever,ever,334
think,think,318
give,give,312
