name,word,count
im,im,2372
like,like,1861
know,know,1689
dont,dont,1610
love,love,1432
got,got,1406
get,get,1336
na,na,1330
baby,baby,1280
oh,oh,1004
girl,girl,886
want,want,850
yeah,yeah,842
youre,youre,830
one,one,767
make,make,765
cause,cause,765
go,go,765
wan,wan,746
gon,gon,732
see,see,725
say,say,715
cant,cant,689
way,way,667
come,come,653
need,need,612
aint,aint,587
back,back,584
right,right,557
let,let,556
time,time,551
take,take,550
ill,ill,523
ya,ya,521
man,man,492
think,think,482
never,never,475
give,give,440
tell,tell,435
could,could,429
feel,feel,415
boy,boy,407
life,life,387
la,la,380
thats,thats,369
wont,wont,329
keep,keep,316
night,night,314
really,really,313
said,said,312
