name,word,count
love,love,50
together,together,34
sun,sun,28
want,want,27
yellow,yellow,26
need,need,24
submarine,submarine,24
oh,oh,23
know,know,20
comes,comes,18
one,one,16
got,got,16
ah,ah,16
much,much,15
darling,darling,15
bom,bom,14
say,say,14
like,like,14
bad,bad,12
driving,driving,12
mad,mad,12
bang,bang,12
see,see,11
never,never,11
shes,shes,11
believe,believe,11
youre,youre,10
dont,dont,10
go,go,10
live,live,10
little,little,9
take,take,9
silver,silver,9
octopuss,octopuss,9
garden,garden,9
bompa,bompa,8
make,make,8
talk,talk,8
man,man,8
get,get,8
sea,sea,8
tell,tell,8
heavy,heavy,8
didnt,didnt,8
well,well,8
nothing,nothing,7
time,time,7
us,us,7
something,something,7
na,na,7
