name,word,count
love,love,1904
im,im,1360
dont,dont,1164
know,know,1158
na,na,1157
baby,baby,1134
like,like,863
got,got,812
go,go,753
get,get,752
oh,oh,690
want,want,678
make,make,673
yeah,yeah,661
youre,youre,638
cant,cant,635
let,let,617
ill,ill,604
time,time,587
one,one,569
gon,gon,562
come,come,553
never,never,548
way,way,517
see,see,501
heart,heart,477
cause,cause,476
feel,feel,465
say,say,461
wan,wan,453
give,give,420
take,take,419
back,back,419
girl,girl,381
night,night,379
tell,tell,373
thats,thats,373
need,need,370
right,right,357
ever,ever,294
aint,aint,292
man,man,287
world,world,284
day,day,283
ive,ive,281
around,around,279
little,little,264
long,long,263
wont,wont,260
could,could,251
