name,word,count
love,love,1782
dont,dont,746
im,im,720
get,get,716
oh,oh,705
got,got,698
baby,baby,615
youre,youre,611
know,know,609
like,like,549
na,na,520
cant,cant,455
yeah,yeah,416
come,come,404
time,time,404
night,night,393
way,way,377
want,want,366
see,see,349
good,good,345
gon,gon,337
go,go,328
never,never,317
make,make,316
back,back,307
dance,dance,306
let,let,305
one,one,300
take,take,299
away,away,296
feel,feel,289
right,right,281
cause,cause,276
say,say,274
little,little,259
need,need,258
ooh,ooh,253
keep,keep,224
ill,ill,217
ive,ive,214
life,life,207
girl,girl,206
give,give,200
shake,shake,188
around,around,184
aint,aint,184
well,well,183
wan,wan,183
sweet,sweet,182
find,find,181
