name,word,count
love,love,1943
oh,oh,1194
dont,dont,1155
na,na,1079
know,know,1015
im,im,1005
baby,baby,827
got,got,797
like,like,643
youre,youre,620
want,want,613
time,time,568
never,never,562
cant,cant,546
feel,feel,528
yeah,yeah,526
get,get,510
make,make,493
go,go,480
one,one,480
gon,gon,477
take,take,455
heart,heart,450
way,way,432
tell,tell,424
come,come,411
say,say,406
let,let,401
ill,ill,399
wan,wan,396
night,night,394
see,see,374
give,give,370
need,need,351
ive,ive,342
could,could,337
cause,cause,325
away,away,308
girl,girl,298
thats,thats,293
right,right,280
look,look,271
life,life,270
good,good,269
well,well,268
think,think,250
wont,wont,240
ooh,ooh,235
theres,theres,234
little,little,230
