name,word,count
say,say,49
love,love,46
dont,dont,42
hello,hello,40
know,know,39
long,long,31
im,im,28
need,need,26
nothing,nothing,25
man,man,24
youre,youre,24
see,see,23
goodbye,goodbye,22
go,go,20
take,take,18
please,please,18
get,get,17
peppers,peppers,17
lonely,lonely,17
goo,goo,16
away,away,15
time,time,15
baby,baby,15
rich,rich,15
little,little,14
like,like,14
mother,mother,14
going,going,13
oh,oh,12
people,people,12
band,band,12
eyes,eyes,12
getting,getting,11
morning,morning,11
hearts,hearts,11
sergeant,sergeant,11
head,head,10
way,way,10
never,never,10
still,still,10
better,better,10
club,club,10
could,could,10
mystery,mystery,10
tour,tour,10
strawberry,strawberry,10
fields,fields,10
sing,sing,9
got,got,9
home,home,9
