name,word,count
love,love,129
im,im,66
oh,oh,49
ill,ill,41
cant,cant,41
got,got,39
bye,bye,37
dont,dont,32
buy,buy,31
tell,tell,31
na,na,28
ive,ive,27
home,home,27
know,know,26
hey,hey,26
say,say,24
girl,girl,22
get,get,21
money,money,21
things,things,21
time,time,21
dance,dance,21
baby,baby,21
one,one,19
would,would,18
days,days,17
like,like,16
gon,gon,16
cos,cos,15
give,give,14
come,come,14
need,need,14
hold,hold,14
feel,feel,13
care,care,13
go,go,13
back,back,13
youre,youre,12
yeah,yeah,12
lot,lot,12
wan,wan,12
way,way,12
well,well,12
let,let,12
much,much,11
see,see,11
ah,ah,11
rock,rock,11
night,night,10
right,right,10
