name,word,count
love,love,1164
im,im,685
baby,baby,651
got,got,634
dont,dont,603
oh,oh,602
know,know,564
get,get,529
na,na,511
like,like,470
come,come,411
time,time,360
youre,youre,353
let,let,340
yeah,yeah,330
gon,gon,323
say,say,322
take,take,309
one,one,309
go,go,308
see,see,275
never,never,271
day,day,269
back,back,268
well,well,263
ill,ill,257
cant,cant,253
make,make,253
way,way,251
tell,tell,249
want,want,247
said,said,244
right,right,243
man,man,226
give,give,216
good,good,211
world,world,208
thats,thats,207
home,home,206
little,little,205
girl,girl,202
ive,ive,200
away,away,194
hey,hey,194
feel,feel,193
la,la,189
could,could,184
cause,cause,182
aint,aint,173
around,around,171
