name,word,count
love,love,1575
know,know,1316
na,na,1314
im,im,1288
like,like,1239
dont,dont,1234
got,got,1074
baby,baby,1069
get,get,967
want,want,966
yeah,yeah,907
oh,oh,831
youre,youre,777
wan,wan,733
one,one,705
make,make,650
see,see,646
ill,ill,599
never,never,595
go,go,590
come,come,568
time,time,547
cause,cause,538
cant,cant,533
say,say,510
way,way,489
need,need,482
back,back,481
let,let,481
right,right,442
girl,girl,424
gon,gon,420
could,could,416
take,take,396
feel,feel,396
give,give,395
tell,tell,390
life,life,384
ever,ever,374
ya,ya,365
night,night,359
think,think,334
heart,heart,320
little,little,296
ta,ta,292
aint,aint,291
really,really,291
every,every,287
good,good,280
would,would,279
