name,word,count
love,love,1176
baby,baby,783
dont,dont,620
im,im,586
oh,oh,546
know,know,507
got,got,496
na,na,477
come,come,408
yeah,yeah,387
youre,youre,357
get,get,342
see,see,334
like,like,333
girl,girl,322
time,time,308
let,let,308
go,go,305
say,say,300
never,never,296
cant,cant,284
ill,ill,274
gon,gon,257
little,little,254
one,one,248
want,want,245
way,way,239
need,need,227
make,make,217
hey,hey,217
good,good,216
tell,tell,214
back,back,208
day,day,208
la,la,203
take,take,195
man,man,195
well,well,190
aint,aint,188
mind,mind,185
world,world,184
cause,cause,182
heart,heart,179
away,away,174
long,long,166
sweet,sweet,160
night,night,159
ive,ive,157
mine,mine,153
theres,theres,152
