name,word,count
back,back,29
let,let,28
get,get,26
oh,oh,25
mine,mine,25
yeah,yeah,25
hi,hi,24
got,got,23
ive,ive,23
home,home,18
said,said,15
world,world,13
feeling,feeling,13
nothings,nothings,12
gon,gon,12
na,na,12
change,change,12
im,im,12
like,like,11
way,way,11
move,move,11
want,want,10
evrything,evrything,9
evrybody,evrybody,9
one,one,9
nineonine,nineonine,9
travelling,travelling,9
well,well,8
girl,girl,8
words,words,7
belonged,belonged,7
thru,thru,7
love,love,6
dig,dig,6
yes,yes,6
road,road,6
day,day,6
youre,youre,6
wisdom,wisdom,6
around,around,5
go,go,5
sweet,sweet,5
loretta,loretta,5
time,time,5
come,come,5
baby,baby,5
dont,dont,5
across,across,4
universe,universe,4
jai,jai,4
