name,word,count
know,know,55
dont,dont,50
im,im,38
come,come,35
cry,cry,33
love,love,26
see,see,24
take,take,23
good,good,22
make,make,22
life,life,21
back,back,19
yeah,yeah,19
honey,honey,18
mother,mother,18
dear,dear,17
pie,pie,17
goes,goes,17
alright,alright,17
bill,bill,17
night,night,16
look,look,16
bungalow,bungalow,16
sing,sing,15
birthday,birthday,15
na,na,15
girl,girl,15
julia,julia,15
road,road,15
ooh,ooh,14
tell,tell,14
well,well,13
say,say,13
baby,baby,13
easy,easy,13
gun,gun,13
yes,yes,12
waiting,waiting,12
shes,shes,12
prudence,prudence,12
hey,hey,11
like,like,11
youll,youll,11
want,want,11
rocky,rocky,11
oh,oh,10
better,better,10
around,around,10
helter,helter,10
skelter,skelter,10
