name,word,count
im,im,2486
like,like,2019
na,na,1859
got,got,1837
know,know,1813
dont,dont,1650
get,get,1465
love,love,1224
oh,oh,1168
go,go,1130
girl,girl,989
see,see,974
make,make,948
wan,wan,861
cause,cause,860
want,want,855
cant,cant,843
baby,baby,815
aint,aint,811
one,one,811
youre,youre,774
let,let,756
gon,gon,699
say,say,676
right,right,669
way,way,655
ya,ya,649
time,time,640
back,back,635
take,take,632
yeah,yeah,604
never,never,571
keep,keep,501
hey,hey,494
need,need,476
life,life,443
could,could,434
come,come,434
tell,tell,433
give,give,414
feel,feel,406
ill,ill,401
wit,wit,395
thats,thats,392
ta,ta,367
da,da,363
around,around,354
good,good,352
put,put,329
night,night,321
