name,word,count
love,love,72
yeh,yeh,72
want,want,56
la,la,53
know,know,49
got,got,46
come,come,43
na,na,41
oh,oh,37
ill,ill,36
dont,dont,36
im,im,34
thats,thats,34
baby,baby,33
wan,wan,32
never,never,31
hold,hold,30
little,little,28
like,like,24
youre,youre,24
wont,wont,24
well,well,22
man,man,22
girl,girl,21
shes,shes,21
see,see,20
hey,hey,19
please,please,19
cant,cant,18
bop,bop,18
shuop,shuop,18
long,long,18
shake,shake,18
twist,twist,18
ta,ta,17
true,true,16
home,home,16
heart,heart,15
go,go,15
tell,tell,15
always,always,15
say,say,14
one,one,14
chains,chains,14
tonight,tonight,14
money,money,14
wait,wait,14
really,really,13
till,till,13
kiss,kiss,12
